iter	Passed	Remaining
0	163	163742
1	167	83741
2	172	57489
3	177	44092
4	180	36003
5	189	31323
6	195	27744
7	204	25309
8	211	23252
9	220	21797
10	226	20340
11	234	19317
12	240	18291
13	248	17486
14	254	16702
15	262	16122
16	268	15509
17	273	14910
18	278	14402
19	284	13931
20	288	13457
21	295	13117
22	299	12710
23	303	12342
24	308	12050
25	318	11947
26	327	11815
27	334	11615
28	342	11462
29	345	11178
30	350	10955
31	356	10769
32	360	10553
33	363	10332
34	366	10113
35	374	10030
36	379	9889
37	387	9813
38	391	9638
39	394	9468
40	397	9288
41	401	9150
42	403	8984
43	406	8826
44	408	8675
45	411	8537
46	415	8424
47	418	8290
48	420	8162
49	423	8037
50	425	7920
51	427	7795
52	431	7713
53	434	7607
54	436	7506
55	439	7406
56	442	7313
57	444	7219
58	447	7133
59	449	7046
60	452	6964
61	454	6882
62	457	6804
63	460	6728
64	462	6656
65	464	6575
66	468	6519
67	473	6483
68	476	6423
69	479	6365
70	482	6316
71	485	6254
72	487	6196
73	494	6184
74	500	6176
75	503	6124
76	508	6093
77	511	6043
78	514	5994
79	517	5947
80	521	5916
81	527	5903
82	530	5861
83	533	5817
84	537	5782
85	540	5747
86	544	5711
87	546	5667
88	549	5625
89	552	5583
90	555	5550
91	559	5518
92	561	5478
93	564	5438
94	568	5411
95	571	5380
96	574	5352
97	577	5315
98	580	5278
99	584	5259
100	587	5226
101	590	5197
102	592	5162
103	595	5128
104	599	5112
105	602	5083
106	605	5054
107	608	5022
108	610	4990
109	614	4975
110	617	4948
111	620	4922
112	623	4893
113	625	4864
114	630	4848
115	633	4825
116	636	4805
117	639	4778
118	641	4751
119	644	4727
120	647	4705
121	650	4681
122	653	4657
123	655	4631
124	659	4619
125	662	4597
126	664	4569
127	667	4545
128	669	4522
129	672	4499
130	676	4490
131	680	4472
132	682	4449
133	685	4428
134	687	4406
135	691	4394
136	694	4374
137	697	4354
138	699	4334
139	702	4313
140	706	4304
141	709	4284
142	711	4263
143	713	4243
144	716	4223
145	720	4217
146	723	4198
147	726	4179
148	728	4160
149	731	4142
150	733	4125
151	737	4115
152	740	4098
153	742	4079
154	745	4063
155	747	4046
156	751	4035
157	754	4020
158	757	4004
159	759	3988
160	762	3972
161	764	3956
162	770	3954
163	774	3950
164	777	3934
165	780	3918
166	784	3911
167	786	3895
168	789	3880
169	791	3865
170	794	3851
171	798	3845
172	801	3830
173	803	3815
174	806	3800
175	808	3786
176	811	3773
177	814	3760
178	816	3746
179	819	3732
180	821	3718
181	824	3705
182	828	3698
183	830	3685
184	833	3671
185	835	3658
186	838	3645
187	841	3632
188	845	3626
189	847	3613
190	850	3600
191	852	3587
192	855	3575
193	859	3571
194	862	3559
195	864	3547
196	867	3534
197	869	3522
198	872	3513
199	876	3505
200	880	3500
201	883	3489
202	886	3479
203	891	3479
204	894	3469
205	897	3459
206	900	3449
207	906	3451
208	909	3440
209	911	3430
210	914	3420
211	917	3410
212	921	3405
213	924	3395
214	927	3384
215	930	3375
216	933	3366
217	938	3366
218	941	3356
219	943	3345
220	946	3335
221	950	3330
222	953	3322
223	956	3311
224	958	3301
225	960	3290
226	964	3285
227	967	3277
228	971	3270
229	974	3261
230	976	3250
231	981	3248
232	983	3238
233	986	3228
234	988	3218
235	991	3209
236	995	3205
237	999	3199
238	1002	3193
239	1006	3187
240	1012	3187
241	1015	3181
242	1019	3174
243	1022	3167
244	1027	3167
245	1031	3160
246	1034	3155
247	1038	3148
248	1045	3152
249	1048	3144
250	1050	3135
251	1053	3128
252	1058	3125
253	1061	3118
254	1065	3112
255	1068	3105
256	1073	3103
257	1078	3101
258	1084	3103
259	1089	3102
260	1093	3094
261	1096	3087
262	1099	3080
263	1104	3078
264	1107	3071
265	1110	3065
266	1114	3059
267	1117	3052
268	1122	3050
269	1126	3044
270	1128	3036
271	1131	3027
272	1135	3023
273	1137	3014
274	1140	3007
275	1143	2999
276	1145	2990
277	1149	2985
278	1152	2977
279	1154	2969
280	1157	2961
281	1159	2953
282	1162	2945
283	1167	2942
284	1169	2934
285	1172	2926
286	1174	2918
287	1177	2910
288	1181	2907
289	1184	2900
290	1187	2894
291	1190	2886
292	1193	2879
293	1197	2875
294	1200	2868
295	1202	2860
296	1205	2853
297	1207	2845
298	1212	2842
299	1215	2835
300	1217	2827
301	1220	2820
302	1222	2813
303	1227	2810
304	1230	2803
305	1233	2796
306	1235	2789
307	1238	2781
308	1241	2776
309	1244	2770
310	1247	2763
311	1250	2756
312	1252	2749
313	1255	2742
314	1259	2737
315	1261	2731
316	1264	2723
317	1267	2717
318	1269	2710
319	1274	2709
320	1277	2702
321	1280	2695
322	1282	2688
323	1285	2681
324	1291	2682
325	1296	2679
326	1298	2672
327	1301	2666
328	1305	2663
329	1308	2656
330	1310	2649
331	1313	2642
332	1316	2635
333	1320	2632
334	1323	2627
335	1326	2620
336	1328	2613
337	1331	2607
338	1335	2603
339	1337	2596
340	1340	2590
341	1342	2583
342	1345	2576
343	1347	2570
344	1352	2567
345	1354	2561
346	1357	2554
347	1360	2548
348	1362	2542
349	1367	2539
350	1369	2533
351	1372	2526
352	1374	2520
353	1377	2513
354	1381	2510
355	1384	2505
356	1388	2500
357	1390	2493
358	1393	2487
359	1398	2485
360	1400	2479
361	1403	2474
362	1406	2467
363	1409	2461
364	1413	2458
365	1415	2452
366	1418	2447
367	1421	2440
368	1423	2434
369	1427	2430
370	1430	2424
371	1432	2418
372	1435	2412
373	1437	2406
374	1440	2400
375	1445	2398
376	1447	2392
377	1450	2386
378	1453	2380
379	1455	2374
380	1460	2372
381	1462	2366
382	1465	2360
383	1468	2355
384	1470	2349
385	1474	2346
386	1477	2340
387	1480	2334
388	1482	2328
389	1485	2322
390	1487	2317
391	1491	2313
392	1494	2308
393	1497	2303
394	1500	2297
395	1504	2294
396	1507	2289
397	1510	2284
398	1512	2278
399	1515	2273
400	1519	2269
401	1522	2264
402	1525	2259
403	1527	2253
404	1530	2248
405	1532	2242
406	1537	2239
407	1539	2234
408	1542	2228
409	1544	2222
410	1547	2217
411	1551	2214
412	1554	2209
413	1556	2203
414	1559	2198
415	1562	2193
416	1566	2189
417	1569	2184
418	1572	2180
419	1575	2175
420	1577	2170
421	1582	2168
422	1586	2163
423	1589	2159
424	1592	2154
425	1597	2152
426	1600	2147
427	1603	2143
428	1606	2137
429	1608	2132
430	1613	2129
431	1616	2124
432	1618	2119
433	1621	2114
434	1623	2109
435	1627	2105
436	1630	2100
437	1632	2095
438	1635	2090
439	1638	2084
440	1640	2079
441	1645	2077
442	1648	2072
443	1650	2067
444	1653	2061
445	1656	2057
446	1660	2053
447	1662	2048
448	1665	2043
449	1667	2038
450	1670	2033
451	1674	2030
452	1680	2028
453	1683	2024
454	1686	2019
455	1690	2017
456	1693	2012
457	1696	2007
458	1698	2002
459	1701	1996
460	1705	1993
461	1707	1988
